Calendar Day일 2,POS Category Code,품목명,Manufacturer,Sales Amt,Sales (Bag),Sales SU,Unit Price,구분,유통사,금액,계절,할인여부,날짜
2017-10-13,MP,CNX 황사마스크 대형1P, UKM Company,7000.0,5,5.0,1400.0,POS,(주)지에스리테일 본부,7000,가을,False,2017-10-13
2017-10-13,MG,UKM 크리넥스 입체마스크 성인용 3P 6G x 3EA, UKM Company,12000.0,4,0.0,3000.0,POS,(주)지에스리테일 본부,12000,가을,False,2017-10-13
2017-10-13,MG,UKM 크리넥스 입체마스크 어린이용 3P 6Gx3EA, UKM Company,21000.0,8,0.0,2625.0,POS,(주)지에스리테일 본부,21000,가을,False,2017-10-13
2017-10-13,MG,CNX 황사마스크 성인용3P, UKM Company,20800.0,13,13.0,1600.0,POS,(주)지에스리테일 본부,20800,가을,False,2017-10-13
2017-10-13,MG,UKM 크리넥스 건강마스크 여성용3입, UKM Company,13000.0,5,5.0,2600.0,POS,(주)지에스리테일 본부,13000,가을,False,2017-10-13
2017-10-13,MG,UKM 크리넥스 건강마스크 어린이용 5P 6Gx5EA, UKM Company,4000.0,1,0.0,4000.0,POS,(주)지에스리테일 본부,4000,가을,False,2017-10-13
2017-10-13,MG,CNX 가습촉촉 마스크 2입, UKM Company,3000.0,1,1.0,3000.0,POS,(주)지에스리테일 본부,3000,가을,False,2017-10-13
2017-10-13,MG,CNX 스타일 마스크 3입, UKM Company,3000.0,1,1.0,3000.0,POS,(주)지에스리테일 본부,3000,가을,False,2017-10-13
2017-10-13,MP,CNX 황사마스크 소형3입, UKM Company,5400.0,1,0.0,5400.0,POS,(주)지에스리테일 본부,5400,가을,False,2017-10-13
2017-10-13,MG,CNX 블랙마스크 중형3입, UKM Company,15000.0,5,3.0,3000.0,POS,(주)지에스리테일 본부,15000,가을,False,2017-10-13
2017-10-14,MP,CNX 황사마스크 대형1P, UKM Company,6000.0,3,3.0,2000.0,POS,(주)지에스리테일 본부,6000,가을,False,2017-10-14
2017-10-14,MG,UKM 크리넥스 입체마스크 성인용 3P 6G x 3EA, UKM Company,21000.0,7,0.0,3000.0,POS,(주)지에스리테일 본부,21000,가을,False,2017-10-14
2017-10-14,MG,UKM 크리넥스 입체마스크 어린이용 3P 6Gx3EA, UKM Company,10500.0,4,0.0,2625.0,POS,(주)지에스리테일 본부,10500,가을,False,2017-10-14
2017-10-14,MG,CNX 황사마스크 성인용3P, UKM Company,26000.0,11,11.0,2364.0,POS,(주)지에스리테일 본부,26000,가을,True,2017-10-14
2017-10-14,MG,UKM 크리넥스 건강마스크 여성용3입, UKM Company,13000.0,5,5.0,2600.0,POS,(주)지에스리테일 본부,13000,가을,False,2017-10-14
2017-10-14,MG,UKM 크리넥스 건강마스크 어린이용 5P 6Gx5EA, UKM Company,8000.0,2,0.0,4000.0,POS,(주)지에스리테일 본부,8000,가을,False,2017-10-14
2017-10-14,MG,CNX 가습촉촉 마스크 2입, UKM Company,15000.0,5,5.0,3000.0,POS,(주)지에스리테일 본부,15000,가을,False,2017-10-14
2017-10-14,MP,UK_CNX_황사마스크대형_1P, UKM Company,16000.0,8,0.0,2000.0,POS,(주)지에스리테일 본부,16000,가을,False,2017-10-14
2017-10-14,MP,CNX 황사마스크 소형3입, UKM Company,10800.0,2,0.0,5400.0,POS,(주)지에스리테일 본부,10800,가을,False,2017-10-14
2017-10-14,MG,CNX 블랙마스크 중형3입, UKM Company,3000.0,1,1.0,3000.0,POS,(주)지에스리테일 본부,3000,가을,False,2017-10-14
2017-10-15,MP,CNX 황사마스크 대형1P, UKM Company,2000.0,1,1.0,2000.0,POS,(주)지에스리테일 본부,2000,가을,False,2017-10-15
2017-10-15,MG,UKM 크리넥스 입체마스크 성인용 3P 6G x 3EA, UKM Company,36050.0,12,0.0,3004.0,POS,(주)지에스리테일 본부,36050,가을,False,2017-10-15
2017-10-15,MG,UKM 크리넥스 입체마스크 어린이용 3P 6Gx3EA, UKM Company,7800.0,3,0.0,2600.0,POS,(주)지에스리테일 본부,7800,가을,False,2017-10-15
2017-10-15,MG,CNX 황사마스크 성인용3P, UKM Company,4940.0,2,2.0,2470.0,POS,(주)지에스리테일 본부,4940,가을,False,2017-10-15
2017-10-15,MG,UKM 크리넥스 건강마스크 여성용3입, UKM Company,2600.0,1,1.0,2600.0,POS,(주)지에스리테일 본부,2600,가을,False,2017-10-15
2017-10-15,MG,UKM 크리넥스 건강마스크 어린이용 5P 6Gx5EA, UKM Company,4000.0,1,0.0,4000.0,POS,(주)지에스리테일 본부,4000,가을,False,2017-10-15
2017-10-15,MG,CNX 가습촉촉 마스크 2입, UKM Company,12000.0,4,4.0,3000.0,POS,(주)지에스리테일 본부,12000,가을,False,2017-10-15
2017-10-15,MG,CNX 스타일 마스크 3입, UKM Company,3000.0,1,1.0,3000.0,POS,(주)지에스리테일 본부,3000,가을,False,2017-10-15
2017-10-15,MP,UK_CNX_황사마스크대형_1P, UKM Company,2000.0,1,0.0,2000.0,POS,(주)지에스리테일 본부,2000,가을,False,2017-10-15
2017-10-16,MP,CNX 황사마스크 대형1P, UKM Company,2000.0,1,1.0,2000.0,POS,(주)지에스리테일 본부,2000,가을,False,2017-10-16
2017-10-16,MP,CNX 황사마스크 뉴(KF80)소형 3P 6G x 3EA, UKM Company,5400.0,1,0.0,5400.0,POS,(주)지에스리테일 본부,5400,가을,False,2017-10-16
2017-10-16,MG,UKM 크리넥스 입체마스크 성인용 3P 6G x 3EA, UKM Company,33000.0,11,0.0,3000.0,POS,(주)지에스리테일 본부,33000,가을,False,2017-10-16
2017-10-16,MG,UKM 크리넥스 입체마스크 어린이용 3P 6Gx3EA, UKM Company,27000.0,9,0.0,3000.0,POS,(주)지에스리테일 본부,27000,가을,False,2017-10-16
2017-10-16,MG,CNX 황사마스크 성인용3P, UKM Company,16900.0,7,7.0,2414.0,POS,(주)지에스리테일 본부,16900,가을,False,2017-10-16
2017-10-16,MG,UKM 크리넥스 건강마스크 여성용3입, UKM Company,2600.0,1,1.0,2600.0,POS,(주)지에스리테일 본부,2600,가을,False,2017-10-16
2017-10-16,MG,UKM 크리넥스 건강마스크 어린이용 5P 6Gx5EA, UKM Company,8000.0,2,0.0,4000.0,POS,(주)지에스리테일 본부,8000,가을,False,2017-10-16
2017-10-16,MP,CNX 황사마스크 소형3입, UKM Company,5400.0,1,0.0,5400.0,POS,(주)지에스리테일 본부,5400,가을,False,2017-10-16
2017-10-16,MG,CNX 블랙마스크 중형3입, UKM Company,6000.0,2,1.0,3000.0,POS,(주)지에스리테일 본부,6000,가을,False,2017-10-16
2017-10-18,MG,UKM 크리넥스 입체마스크 성인용 3P 6G x 3EA, UKM Company,15000.0,5,0.0,3000.0,POS,(주)지에스리테일 본부,15000,가을,False,2017-10-18
2017-10-18,MG,UKM 크리넥스 입체마스크 어린이용 3P 6Gx3EA, UKM Company,6000.0,2,0.0,3000.0,POS,(주)지에스리테일 본부,6000,가을,False,2017-10-18
2017-10-18,MG,CNX 황사마스크 성인용3P, UKM Company,5200.0,2,2.0,2600.0,POS,(주)지에스리테일 본부,5200,가을,False,2017-10-18
2017-10-18,MG,UKM 크리넥스 건강마스크 여성용3입, UKM Company,10400.0,4,4.0,2600.0,POS,(주)지에스리테일 본부,10400,가을,False,2017-10-18
2017-10-18,MG,UKM 크리넥스 건강마스크 어린이용 5P 6Gx5EA, UKM Company,4000.0,1,0.0,4000.0,POS,(주)지에스리테일 본부,4000,가을,False,2017-10-18
2017-10-18,MG,CNX 가습촉촉 마스크 2입, UKM Company,12000.0,4,4.0,3000.0,POS,(주)지에스리테일 본부,12000,가을,False,2017-10-18
2017-10-18,MG,CNX 블랙마스크 중형3입, UKM Company,15000.0,5,3.0,3000.0,POS,(주)지에스리테일 본부,15000,가을,False,2017-10-18
2017-10-19,MP,CNX 황사마스크 대형1P, UKM Company,6000.0,3,3.0,2000.0,POS,(주)지에스리테일 본부,6000,가을,False,2017-10-19
2017-10-19,MP,CNX 황사마스크 뉴(KF80)소형 3P 6G x 3EA, UKM Company,5400.0,1,0.0,5400.0,POS,(주)지에스리테일 본부,5400,가을,False,2017-10-19
2017-10-19,MG,UKM 크리넥스 입체마스크 성인용 3P 6G x 3EA, UKM Company,9000.0,3,0.0,3000.0,POS,(주)지에스리테일 본부,9000,가을,False,2017-10-19
