그룹_1,그룹_2,SO2_최빈값,SO2_중앙값,SO2_평균,SO2_범위,SO2_사분편차,SO2_분산,SO2_표준편차,CO_최빈값,CO_중앙값,CO_평균,CO_범위,CO_사분편차,CO_분산,CO_표준편차,O3_최빈값,O3_중앙값,O3_평균,O3_범위,O3_사분편차,O3_분산,O3_표준편차,NO2_최빈값,NO2_중앙값,NO2_평균,NO2_범위,NO2_사분편차,NO2_분산,NO2_표준편차,PM10_최빈값,PM10_중앙값,PM10_평균,PM10_범위,PM10_사분편차,PM10_분산,PM10_표준편차,PM25_최빈값,PM25_중앙값,PM25_평균,PM25_범위,PM25_사분편차,PM25_분산,PM25_표준편차
나쁨,나쁨,0.005,0.005,0.006184473595207036,0.376,0.003,1.6369195080905862e-05,0.004045886192282955,0.6,0.7,0.7188469343383098,7.0,0.30000000000000004,0.08042932705641108,0.28360064713679883,0.002,0.02,0.027419807218437453,0.183,0.037000000000000005,0.000660407940765688,0.025698403467252356,0.027,0.038,0.040404867855244726,0.1877,0.031,0.00043342965862506723,0.020818973524769833,81.0,93.0,96.52462917331015,69.0,17.0,190.6822822282847,13.808775551376186,56.0,56.0,56.13454848528772,39.0,18.0,118.52449949783916,10.886895769586442
나쁨,매우나쁨,0.005,0.006,0.006649049382331893,0.27080000000000004,0.004,2.0653775817859083e-05,0.004544642540162986,0.8,0.8,0.9007530261069795,7.800000000000001,0.40000000000000013,0.09463676686585086,0.30763089387421877,0.003,0.009,0.017444098702430223,0.15,0.024,0.00034172647799481066,0.01848584534163398,0.041,0.045,0.045716818620281915,0.137,0.03,0.0004022570432690059,0.020056346707937763,112.0,116.0,116.97532439244485,69.0,26.0,277.7327514156075,16.66531582105804,76.0,87.0,90.6093288110278,71.0,17.0,152.0692075558596,12.331634423540928
나쁨,보통,0.004,0.005,0.005067974101529511,0.1593,0.002,9.397354749068862e-06,0.0030655105201367132,0.4,0.5,0.4774795908792343,3.1,0.19999999999999996,0.031377038736133255,0.17713565066392833,0.034,0.034,0.03679511119452003,0.147,0.029,0.00047154622551311387,0.02171511513930133,0.013,0.023,0.027125391761283667,0.1336,0.020999999999999998,0.0002668736998207124,0.01633626945849977,82.0,94.0,99.0321385005161,69.0,22.0,284.13779605553424,16.85638739634131,35.0,27.0,26.475039879891153,19.0,9.0,31.891959332650668,5.647296639335556
나쁨,좋음,0.003,0.004,0.004022397545474468,0.073,0.002,4.713511060892315e-06,0.002171062196458755,0.3,0.3,0.34959456497918034,2.1999999999999997,0.10000000000000003,0.01640296952557841,0.12807407827338993,0.03,0.032,0.033654832347140035,0.089,0.019999999999999997,0.00020195690575207896,0.014211154272334072,0.01,0.013,0.014712382204689897,0.0733,0.009,7.803674126789983e-05,0.008833840686128533,81.0,95.0,100.52465483234714,69.0,23.0,293.34340923326005,17.127270921932077,15.0,12.0,11.109577032653956,15.0,5.0,10.204955398569222,3.194519588070986
매우나쁨,나쁨,0.007,0.006,0.005789572953736655,0.0871,0.003,1.1002848572079844e-05,0.0033170542009559995,0.5,0.5,0.5123843416370106,1.7999999999999998,0.19999999999999996,0.03921317612492207,0.19802317067687322,0.039,0.039,0.040206405693950176,0.151,0.027999999999999997,0.0005121033041628138,0.02262969960390137,0.01,0.025,0.0290723487544484,0.132,0.025,0.0003738240788249892,0.019334530737129083,151.0,204.0,223.01992882562277,506.0,94.0,4353.855830599924,65.98375429300704,38.0,49.0,50.91886120996441,39.0,18.0,121.78487557148465,11.03561849519476
매우나쁨,매우나쁨,0.006,0.007,0.007691951488423374,0.0754,0.003999999999999999,1.8737539043585576e-05,0.004328687912472505,0.9,0.9,1.0055678059536934,10.9,0.3999999999999999,0.1606617595515541,0.4008263458800508,0.003,0.014,0.020239617787578098,0.116,0.027,0.0003823001724375212,0.0195524978567323,0.035,0.046,0.04773969128996692,0.157,0.031,0.000477071434524321,0.021841964987709347,153.0,165.0,174.71756707092982,323.0,24.0,795.9446711848501,28.212491403363334,109.0,114.0,116.89875045938993,161.0,33.0,615.5158418785622,24.80959173139619
매우나쁨,보통,0.004,0.004,0.004600074962518741,0.045899999999999996,0.002,6.650937025864859e-06,0.002578941066768463,0.3,0.4,0.3782983508245877,1.4,0.2,0.019480312785885877,0.13957189110234866,0.038,0.034,0.034852323838080956,0.095,0.018999999999999996,0.00021069033567923807,0.01451517604713212,0.011,0.014,0.018117653673163422,0.08549999999999999,0.011999999999999999,0.0001588710938950513,0.012604407716947723,158.0,197.0,215.90029985007496,471.0,80.0,4077.348380719686,63.854117962114906,21.0,25.0,25.05622188905547,19.0,10.0,32.60778362692786,5.710322550165434
매우나쁨,좋음,0.004,0.004,0.003936928104575164,0.009999999999999998,0.002,1.8319042889487018e-06,0.001353478588286014,0.3,0.3,0.33578431372549017,1.0999999999999999,0.10000000000000003,0.014291378316032242,0.11954655292408996,0.027,0.029,0.030890522875816995,0.063,0.017,0.00015454193632790799,0.012431489706704824,0.01,0.012,0.013633823529411764,0.0461,0.008000000000000002,5.0049591262975844e-05,0.007074573574638675,152.0,184.5,195.7156862745098,247.0,54.0,1660.9812572087662,40.755137801371326,15.0,13.0,12.223856209150327,13.0,3.0,6.837143299585647,2.6147931657371384
보통,나쁨,0.004,0.005,0.005377660829325833,0.2158,0.002,1.3538887480247098e-05,0.0036795227245183713,0.5,0.6,0.6414150525467424,7.6000000000000005,0.30000000000000004,0.06569855431764024,0.2563172922719812,0.002,0.019,0.025302358598824702,0.191,0.033,0.0005581178749004174,0.02362451851150447,0.02,0.032,0.03474881963310685,0.146,0.027,0.00031872742759246235,0.017852938906310702,62.0,63.0,62.59818955256542,49.0,16.0,105.37959566976431,10.265456427736874,36.0,43.0,44.83228275431396,39.0,10.0,59.230158579531484,7.696113212494439
보통,매우나쁨,0.004,0.005,0.0054187725631768945,0.045,0.003,1.1044846146828447e-05,0.003323378724555546,0.6,0.7,0.7703971119133575,1.5999999999999999,0.30000000000000004,0.07399731522631597,0.2720244754177755,0.003,0.012,0.018187725631768955,0.077,0.023,0.00032678064356371115,0.018077075083201683,0.019,0.038,0.040722021660649824,0.096,0.028,0.00035170973165296035,0.018753925766435153,80.0,78.0,77.83032490974729,12.0,3.0,5.252798811401159,2.2918985168198787,76.0,77.0,78.09025270758123,19.0,3.0,6.2987136545504425,2.5097238203735572
